,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 22:17:10 +0000 2019,Land Academy,2456997438,2878,0,0,Today's episode: “Tim Flood Shares His Land Academy Experience (LA 951)” will be available at 3:00pm pst on our You… https://t.co/0bmo8ymV5i
1,Wed Apr 03 22:17:01 +0000 2019,りゅーじ,936898599425753088,0,0,12,"RT @hoshiteru_games: 本日でYouTube活動を始めて1年が経ちました！

作った動画は約300本
自分でも信じられないくらい毎日が楽しいですd(˙꒳​˙* )

年内登録者10000人を目標に、また少しずつ皆さんの役に立てる動画を作っていきます！

これか…"
2,Wed Apr 03 22:16:59 +0000 2019,tomo*tomo,112447039,194,0,0,"今日の気分は…

kojimatakahiroChannel
小島嵩弘ワンマンライブ@名古屋メモリーレーン https://t.co/NC2tAm9tn0 @YouTubeより
 
  #Youtube #YouTubeMusic… https://t.co/z5oMUlURoI"
3,Wed Apr 03 22:16:55 +0000 2019,MBM,2564601457,1371,0,0,"【PS4】 Uncharted Pirate King and the Last Hidden Torture Conclusion
https://t.co/3ccfY6oukw
#PS4 #TPS #YouTube"
4,Wed Apr 03 22:16:54 +0000 2019,#FaZeUp,797107701994098689,1954,0,1,RT @vtamayoo: Dropping 17 kills in Arena Solos... (Easy) FortniteBattleRoyale #BornVic... https://t.co/4JJrBw3OMN @FaZeClan @theofficialwak…
5,Wed Apr 03 22:16:54 +0000 2019,OdebGaming,856793000558682112,75,0,0,"https://t.co/ictb5z7BQs
SEKIRO
Sekiro Shadows Die Twice

#Sekiro
#SekiroShadowsDieTwice
#walkthrough #Gameplay… https://t.co/COlaZw5hK7"
6,Wed Apr 03 22:16:51 +0000 2019,CyberGeak,850166137706889216,1160,0,2,RT @PageWaver: Publish the link of your YOUTUBE video in the public directory of https://t.co/VtkwM5aPYN #Webmaster #Youtube #Marketing #SE…
7,Wed Apr 03 22:16:50 +0000 2019,DylansWorld,954241651,55264,0,1,"RT @New_YouTubers: TOP 5 CHANNEL'S OF THE MONTH - MARCH 
check it out now #youtube #youtubers #smallyoutuber #blog #blogging #youtubepromo…"
8,Wed Apr 03 22:16:36 +0000 2019,LemonBeardGaming,1100373893972455426,1,0,0,#streaming some Spongebob Battle for bikini bottom tonight on #twitch and #youtube.  Come check it out.  #retrogames #gaming
9,Wed Apr 03 22:16:31 +0000 2019,Drea Deniro 🏀,109127390,1505,0,0,Tomorrow‼️4/4 at 8PM our #YouTube premiere featuring bubutheprince_ will be airing on 4THE[🔴REC]... Catch his whole… https://t.co/ZmJlGjtE9m
10,Wed Apr 03 22:16:31 +0000 2019,さーちゃん,601486759,304,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
11,Wed Apr 03 22:16:19 +0000 2019,mayomayo,1103865075062824960,8,0,9,"RT @tsXBpSrsTBM4MjQ: 【武士道】
元最強の不良だった伝説の男が国民の為に自らの命を懸けて立ち上がる‼️やはり、この人は男の中の男ですね👼✨

#いいねした人全員フォローする 
#RTした人全員フォローする 
#YouTube
#与国秀行
#大和魂 https…"
12,Wed Apr 03 22:16:16 +0000 2019,🎮OdebGaming🎮 &  @BromiusGaming,957663848596758528,606,0,0,"https://t.co/SGyH4iVWiv
SEKIRO
Sekiro Shadows Die Twice

#Sekiro
#SekiroShadowsDieTwice
#walkthrough #Gameplay… https://t.co/8zNPVmZpi1"
13,Wed Apr 03 22:16:11 +0000 2019,Ntsikie.,943745700143222784,409,0,864,RT @YNWMelly: Gang (First Day Out) 🌟✨Music video out now @drewfilmedit #youtube #weallshine out now https://t.co/DcMfmC789A
14,Wed Apr 03 22:16:11 +0000 2019,ちぃヾ（*・ω・*）ノ,406239770,191,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
15,Wed Apr 03 22:16:06 +0000 2019,かちころ＠視聴用垢,1013460447696072705,2997,1,0,"YouTube相互チャンネル登録します

お気軽にどうぞ☺️

DM にて貴方のYouTubeチャンネルURL送ってください(o^^o)✨

#youtube
#youtube相互登録
#youtube登録
#相互チャンネル登録
#拡散希望"
16,Wed Apr 03 22:16:01 +0000 2019,SKETCH4961,1092574700797153280,275,0,3,"RT @GamerGram_GG: 🔸️Ever thought...
 ""how do people get those black backgrounds in #spiderman""?
🔸️Checkout @Ghost_Focus Latest #YouTube #Vi…"
17,Wed Apr 03 22:16:01 +0000 2019,𝐾𝑒🖤,1104501958566539264,1,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
18,Wed Apr 03 22:15:57 +0000 2019,Gameshow Jackson,176882494,1175,1,0,"6:15pm LINK IN BIO 
@yungbb12 #YourHood Out Now #youtube #yungbb shot by gameshowjackson #showshotit… https://t.co/z826nm6XHM"
19,Wed Apr 03 22:15:57 +0000 2019,Paulo Londra Arg🇦🇷,969969646685257728,1078,2,1,"🔥"" TAL VEZ"" YA ESTA DISPONIBLE EN #YOUTUBE 🔥.
.
📌LINK  EN BIOGRAFÍA. https://t.co/6sxElasibY"
20,Wed Apr 03 22:15:49 +0000 2019,⋆✰Ɗℯℯנαყ Ŧa̶๖ɣ✰,887933150,4205,1,0,"N-am nevoie #OfficialVideo
#OfficialVideo #Year2019
#OficialVideo #VideoClipOficial
#VideoClip #Video #NewVideo… https://t.co/3JMxV6PV2h"
21,Wed Apr 03 22:15:47 +0000 2019,Beans On Demand,833031409904279553,553,0,0,#rbtv #gaming #vod #youtube #new Verfolgt vom finsteren Salazar | Resident Evil 4 mit Simon &amp; Gregor #06… https://t.co/qxbEuDZ7sg
22,Wed Apr 03 22:15:39 +0000 2019,BattleChats,759961740880781312,1803,0,0,".....✅ SUBSCRIBE ✅......
https://t.co/iOeAIa16W3 

A Network With Howard Stern Show Personalities, Celebrity Interv… https://t.co/SdrOx4HCJY"
23,Wed Apr 03 22:15:31 +0000 2019,MxZ,2787205306,669,0,0,"@youtube this as some amazing ideas and something we've all wanted, please conider this concept! #YouTube… https://t.co/pwNTixSD9d"
24,Wed Apr 03 22:15:30 +0000 2019,Scott M. Schewe,2227196696,2242,0,5,RT @fatilatuti: I just checked out @amir_rahim7 on his #YouTube channel: https://t.co/Vu3NWpD1je #actors #actorslife #acting #sagaftra #imd…
25,Wed Apr 03 22:15:27 +0000 2019,maki,825539113013047297,772,0,25,"RT @mariiiiiina_ht: 今日も見てくださってありがとうございました！
また明日もよろしくお願いいたします✨

#テレポート山陰ちゃんねる
拡散お願いいたします✨

#テレポート山陰
#テレポート反省会
#山陰放送
#YouTube
#チャンネル登録よろしくお願い…"
26,Wed Apr 03 22:15:26 +0000 2019,pbbFANSweetGirlNGmindanao❤️,1068055119349063680,83,0,255,"RT @sankaiiine: ANDRE❤️LOW good 👍🤣
YAM YAM HANSANUDESU😍
fumiya fight👍🇯🇵🇵🇭
#philippines🇵🇭 
#salamat 
#pbb 
#ABSCBN
#fumishunbase 
#youtube h…"
27,Wed Apr 03 22:15:24 +0000 2019,Rhyno Xander,4052037492,136,0,0,"Selection video for this Sunday's Raceamania coming late tonight on the sub4ra Youtube channel, link in bio.… https://t.co/VaC7UgyNyg"
28,Wed Apr 03 22:15:16 +0000 2019,YouTuberリアル,960438237385773057,411,0,0,"今日のYouTuberランキング！（2019年4月4日）
第16位　【レペゼン地球】公式の収入・年収は？ランキング予想や再生回数・登録者数順位まとめ
登録数　+3,876人/1日
再生回数 +125万3,003回/1日… https://t.co/t5S8tvrmiK"
29,Wed Apr 03 22:15:13 +0000 2019,Page Waver,3438017319,5147,0,2,Publish the link of your YOUTUBE video in the public directory of https://t.co/VtkwM5aPYN #Webmaster #Youtube… https://t.co/kQYFmQFiYC
30,Wed Apr 03 22:15:11 +0000 2019,UnderGroundMics Rock Division,3291907258,1066,0,0,"95) #UgmRock100 Sponsored Tweet by: @SceneCreep ""I have a #BrandNew #Music video for my #Song #Regret on #YouTube!… https://t.co/jM7MxelNol"
31,Wed Apr 03 22:15:06 +0000 2019,Gaming Bleach,986356987104460801,9,0,0,"The Rookie cop | Resident Evil 2 | walkthrough 9 (Leon): https://t.co/CtJytFRiPM
#ResidentEvil2Remake… https://t.co/moocrAtg0O"
32,Wed Apr 03 22:15:04 +0000 2019,Real Life Network,4913943194,10729,1,0,"Catch a new video from Second Thought on Friday @ 9 AM CT! 
JT tells the story of electric cars and how they’re muc… https://t.co/8MmDc74flo"
33,Wed Apr 03 22:15:00 +0000 2019,Ideeleradio,54044060,71901,0,0,🔴 Síguenos en #YouTube 📲 /ideeleradio ▶ https://t.co/yTpZ06ozfV ¡Programa #NoHayDerecho! 🎥 Conduce: #GlatzerTuesta https://t.co/1sD9CKAySe
34,Wed Apr 03 22:14:46 +0000 2019,DJAFAYProductions,1061002335944622080,77,0,0,Be sure to DM us if you need eSports GFX/INTROS/ANIMATIONS/MONTAGES #gfx #gfxdesigner #gfxdesigners #gfxneeded… https://t.co/MQwVTd2JH5
35,Wed Apr 03 22:14:44 +0000 2019,Senpai DMD,863126088586846210,23,0,0,95 OVERALL PURE ATHLETIC FINISHER UPGRADE | NBA2K19 https://t.co/PKHNoIg4eV via @YouTube #DeeEmDeeDoesIt #Youtube… https://t.co/sNXHuw3Smn
36,Wed Apr 03 22:14:37 +0000 2019,Vtamayo,1008109890546495488,142,0,1,Dropping 17 kills in Arena Solos... (Easy) FortniteBattleRoyale #BornVic... https://t.co/4JJrBw3OMN @FaZeClan… https://t.co/vaIvKPGhOr
37,Wed Apr 03 22:14:36 +0000 2019,DavietheBearded,1095459928955895808,14,0,0,"Just hit 40 #Subscribers on #YouTube during the stream 2night, over 160 views 🎉😘 thank you so much everyone!!!! Unf… https://t.co/5LzxhTYRYl"
38,Wed Apr 03 22:14:33 +0000 2019,Gabrielle,842210700,271,0,0,Quick and easy dinner tonight. Chili cheese hot dogs with Italian macaroni salad. 🍴 #easydinner #quickdinner… https://t.co/O960LoaxY0
39,Wed Apr 03 22:14:32 +0000 2019,New Youtubers®,2250648171,10645,0,1,"TOP 5 CHANNEL'S OF THE MONTH - MARCH 
check it out now #youtube #youtubers #smallyoutuber #blog #blogging… https://t.co/0VIFQplpCw"
40,Wed Apr 03 22:14:32 +0000 2019,💜あいり🎸,1076067430919593985,14,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
41,Wed Apr 03 22:14:13 +0000 2019,Popular Music And Beats,1456838982,88,0,2,"RT @MNanovqee: Neybron James BEAUTIFUL PORNSTAR +18
https://t.co/KUnjcvqGKR
#beautiful #girl #woman #sexy #sex #porn #blowjob #pornhub #big…"
42,Wed Apr 03 22:14:13 +0000 2019,珍王,850171017414692865,1406,0,0,"【スクイノリ】
https://t.co/AQakyBGUct
#YouTube"
43,Wed Apr 03 22:13:49 +0000 2019,BRIAN MBOWO,3813039801,336,0,0,"#2019 same flames 🔥🔥💣@bravooafrika x @dymanmind 
(Kenya x Jamaica) (Africa x USA) 
'ARD pon Dem!!! 
BRAMEK ENTERTAI… https://t.co/yX9Jckfq7k"
44,Wed Apr 03 22:13:44 +0000 2019,HelpmeTwitte,1080619789503074304,12,0,2,RT @davyonmartz: Completed #Commission for @CapnSlippery Interested to get your #mascot #characterdesign dm me #LogoDesign #Icon #gamingcom…
45,Wed Apr 03 22:13:42 +0000 2019,キラキラ光れ,4816817666,11,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
46,Wed Apr 03 22:13:36 +0000 2019,Edgar Dias,210242794,1,0,0,"Como ganhar dinheiro no YouTube Vendas Online 
#YouTube #YouTubersReact #React
https://t.co/WjO1cu1353"
47,Wed Apr 03 22:13:31 +0000 2019,Daily Tucsonan,2885224143,713,0,2,RT @rolandsmartin: Black women beaten by white supremacist joins us on #RolandMartinUnfiltered to discuss Dallas PD filing charges against…
48,Wed Apr 03 22:13:22 +0000 2019,ジュンとギター,1094605286491381766,235,1,0,"かろうじてまだ桜🌸が残っているのでこれ貼り付けておきます🌸

良ければ見て行って下さい😌✨🌸

少しでも良いと思ったらチャンネル登録ヨロシクです🌸

#ジュンとギター #ギター #弾き語り #歌ってみた #弾いてみた #ケツメイシ… https://t.co/OCkp2VBMze"
49,Wed Apr 03 22:13:22 +0000 2019,Solitiverse,1048686925270282240,538,0,9,"RT @Glutchi: Help me hit 100 twitch followers
I will follow back https://t.co/D7HjF9Z80D
1. Retweet
2. Comment your Twitch/YT
3. Follow who…"
50,Wed Apr 03 22:13:07 +0000 2019,Solitiverse,1048686925270282240,538,0,7,"RT @Glutchi: Help me hit 300 subscribers
I will follow back https://t.co/KdF4R8qB7Z
1. Retweet
2. Comment your Twitch/YT
3. Follow who you…"
51,Wed Apr 03 22:13:02 +0000 2019,Lion Up Network,1068952300339761152,245,0,2,"RT @ManuGamingworld: Portal 2 / Let's Play {Part 7 - Deutsch} Alte Erfindungen

https://t.co/4GH84QMSIg

#LetsPlay #games #YouTube #gaming…"
52,Wed Apr 03 22:13:00 +0000 2019,Silly Billy Toys,827632390822522880,1350,1,0,Get ready for the coolest indoor fort ever! #daddaughter #daddydaughter #kidsvideos #Entertainment #entertaining… https://t.co/ZoWaZ9j2ik
53,Wed Apr 03 22:12:58 +0000 2019,L C N,888888093138313216,1696,0,1,"RT @lcnukulele: I COVERED BILLIES NEW SONG “ BAD GUY “ ON MY YOUTUBE CHANNEL. GIVE IT A PEEP !!  https://t.co/RyixqVUOfQ 

✼ @billieeilish…"
54,Wed Apr 03 22:12:58 +0000 2019,まこ,1038375922716430336,26,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
55,Wed Apr 03 22:12:48 +0000 2019,L C N,888888093138313216,1696,1,1,"I COVERED BILLIES NEW SONG “ BAD GUY “ ON MY YOUTUBE CHANNEL. GIVE IT A PEEP !!  https://t.co/RyixqVUOfQ 

✼… https://t.co/RjQQBbntsq"
56,Wed Apr 03 22:12:48 +0000 2019,Charlie Gaming,2285306540,143,0,0,▶️ VÍDEO | JUEGOS DE MESA: CATAN - Ep.39 | #YouTube #JuegosdeMesa #BoardGames #SettlersofCatan #ColonosdeCatan… https://t.co/L9qH2G7CN7
57,Wed Apr 03 22:12:45 +0000 2019,Mrs. Pikachuu,1635905624,95,1,2,"@sycopikachuu is live for a little while longer tonight! Feel free to come check out the stream!
#streamerNetwork… https://t.co/hAfexWLj7W"
58,Wed Apr 03 22:12:32 +0000 2019,🌹ユキ🌹,885129636706885638,231,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
59,Wed Apr 03 22:12:28 +0000 2019,カブキン神動画集,859700625679855623,70,0,0,"カブキン神動画

ガラ悪い外国人にからまれてガチ喧嘩
https://t.co/Nrz7Jw6nfY

#カブキン #YouTuber #YouTube"
60,Wed Apr 03 22:12:23 +0000 2019,rolandsmartin,16116288,520083,0,2,Black women beaten by white supremacist joins us on #RolandMartinUnfiltered to discuss Dallas PD filing charges aga… https://t.co/M25qJPkTwF
61,Wed Apr 03 22:12:16 +0000 2019,ららこ,918031504373981184,116,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
62,Wed Apr 03 22:12:06 +0000 2019,picolee,379419448,658,0,0,"https://t.co/fZ53uPK1uK
#youngking #GODgetstheglory #followme 
#youtube #picolee #videos #every #week #thankyou !!!… https://t.co/IWFAoLYp9t"
63,Wed Apr 03 22:12:06 +0000 2019,JA Directives - Small Business Insights,3302651196,6419,0,3,"RT @ahmedjr_16: 14 Best #YouTube &amp; Video Marketing Courses &amp; #Training 

https://t.co/VfvvraB8V4

#VideoMarketing #DigitalMarketiing #Marke…"
64,Wed Apr 03 22:11:51 +0000 2019,BrewCityArcade,1044382516323524608,12,0,0,Check out the new #BrewCityArcade video! Risk of Rain 2: Episode 4 - Glitchy Game - Brew City Arcade - Let's Play C… https://t.co/VQbXNjLH5b
65,Wed Apr 03 22:11:50 +0000 2019,DiGi GamingTV,1097411287418634240,3,0,0,Kein erfolgreicher Start in die neue #iRacing Woche mit einem 13ten Platz in #Imola! Leider war das Auto nach 3 Tur… https://t.co/43we8fQwjq
66,Wed Apr 03 22:11:45 +0000 2019,Rpapou,1866979910,485,0,8,"RT @TheEmily777: My brother and me are starting a #YouTube channel aimed at exposing #Hollywood for liberal bias, agenda, and altogether sh…"
67,Wed Apr 03 22:11:42 +0000 2019,渡辺 葵,927172068424032256,20,0,0,"https://t.co/diBLItVwFD

#youtube #instagram #インスタ映え #インスタグラム #与那覇漢房長官 による #新元号発表 #勇気 #新時代 #めで鯛"
68,Wed Apr 03 22:11:39 +0000 2019,Sam Susi,1107424222740127744,345,0,1,"RT @MrsWilkins4Real: LIKE! SHARE! SUBSCRIBE!
https://t.co/44AVb0D4Pn
#NipseyHussle #YouTube #blacklivematter #BlackTwitterMovement"
69,Wed Apr 03 22:11:39 +0000 2019,Sam Susi,1107424222740127744,345,0,1,"RT @lisa_allender: We have finally started our YouTube journey! Please like, subscribe, and share! 
#intro #weightloss #lifestylechange #jo…"
70,Wed Apr 03 22:11:32 +0000 2019,So-Star,752325773390938112,248397,0,246,"RT @SoStarMusic: 🎼#Music #NewMusicAlert 🎧#Mp3 #YouTube #NewMusic
#Share #LoveMusic #MusicIsLife 

The Way That Our Eyes First Met ~ So-Star…"
71,Wed Apr 03 22:11:15 +0000 2019,ゲーマー魂＠実力者紹介,2358709974,348,0,0,"今一番面白いYouTuberはこいつだ！！！

https://t.co/6epnQc2xxr
　#YouTube　#YouTuber　
 #拡散希望RTおねがいします 
#拡散希望 
#誰でもどうぞ 
#誰でもRT… https://t.co/jjATW4LVW2"
72,Wed Apr 03 22:11:08 +0000 2019,Lisa_Allender,774484992,15,0,1,"We have finally started our YouTube journey! Please like, subscribe, and share! 
#intro #weightloss… https://t.co/bWKxTfCQ9I"
73,Wed Apr 03 22:11:08 +0000 2019,人工知能AI.相互チャンネル登録YouTubeカンガル君2号,1103053118042861568,174,0,0,"ワタシハ人工知能AIデス
相互YouTuberを探索中…デス
#相互チャンネル登録 #相互フォロー #相互登録 #YouTuber #YouTube #ユーチューブ #ユーチューバー"
74,Wed Apr 03 22:11:02 +0000 2019,R&B Artist Needed,922045844337168384,5372,0,1,"RT @jcgorun: New song soon called “ EMOTIONS “
Stay tuned 👌🏾🙌🏾🤩 
#hiphopmusic #rapper #youtube #newsong #music #artist #singersongwriter #s…"
75,Wed Apr 03 22:11:01 +0000 2019,Cesar Ibarra Zuñiga,869131088,312,0,0,Nuevo video en el canal https://t.co/hqtbyYxDr9 #YouTube #videoenestreno #fanart #photoshop
76,Wed Apr 03 22:10:53 +0000 2019,DudeFlix Studio,1078441439632285697,41,0,0,*Newest* Creative Mode Fortnite Glitch Upside Down/Invisibility!  Fortnite April 2019 Glitches… https://t.co/KNQSN7ILPb
77,Wed Apr 03 22:10:50 +0000 2019,#FaZeUp,797107701994098689,1954,0,1,"RT @YPivze: this video is INSANE. so underrated
👇👇👇
 https://t.co/38RyGDthtK…
#fortnite #Apex #ApexLegends #youtube #ControllerGang #gaming…"
78,Wed Apr 03 22:10:47 +0000 2019,Mrs. Pikachuu,1635905624,95,0,5,RT @sycopikachuu: Good morning everyone!&lt;3 happy hump day! Dont for get to hit my bell for notifications of my amazingtweets&lt;3 retweets&lt;3 #…
79,Wed Apr 03 22:10:46 +0000 2019,SvRecords #instrumental,800510321685213184,4539,0,2,"RT @SvRecordsInstru: #SvRecords #see of #death #horrorcore #instrumental  #YouTube 
https://t.co/8IRF3F7X6G"
80,Wed Apr 03 22:17:12 +0000 2019,Check Bio,1075635037293424640,110,0,0,nurandalask will design a cool banner for $10 on #fiverr #socialmedia #cover #youtube #design #banner #yt https://t.co/kN56clwS25
81,Wed Apr 03 22:17:10 +0000 2019,Land Academy,2456997438,2878,0,0,Today's episode: “Tim Flood Shares His Land Academy Experience (LA 951)” will be available at 3:00pm pst on our You… https://t.co/0bmo8ymV5i
82,Wed Apr 03 22:17:01 +0000 2019,りゅーじ,936898599425753088,0,0,12,"RT @hoshiteru_games: 本日でYouTube活動を始めて1年が経ちました！

作った動画は約300本
自分でも信じられないくらい毎日が楽しいですd(˙꒳​˙* )

年内登録者10000人を目標に、また少しずつ皆さんの役に立てる動画を作っていきます！

これか…"
83,Wed Apr 03 22:16:59 +0000 2019,tomo*tomo,112447039,194,0,0,"今日の気分は…

kojimatakahiroChannel
小島嵩弘ワンマンライブ@名古屋メモリーレーン https://t.co/NC2tAm9tn0 @YouTubeより
 
  #Youtube #YouTubeMusic… https://t.co/z5oMUlURoI"
84,Wed Apr 03 22:16:55 +0000 2019,MBM,2564601457,1371,0,0,"【PS4】 Uncharted Pirate King and the Last Hidden Torture Conclusion
https://t.co/3ccfY6oukw
#PS4 #TPS #YouTube"
85,Wed Apr 03 22:16:54 +0000 2019,#FaZeUp,797107701994098689,1954,0,1,RT @vtamayoo: Dropping 17 kills in Arena Solos... (Easy) FortniteBattleRoyale #BornVic... https://t.co/4JJrBw3OMN @FaZeClan @theofficialwak…
86,Wed Apr 03 22:16:54 +0000 2019,OdebGaming,856793000558682112,75,0,0,"https://t.co/ictb5z7BQs
SEKIRO
Sekiro Shadows Die Twice

#Sekiro
#SekiroShadowsDieTwice
#walkthrough #Gameplay… https://t.co/COlaZw5hK7"
87,Wed Apr 03 22:16:51 +0000 2019,CyberGeak,850166137706889216,1160,0,1,RT @PageWaver: Publish the link of your YOUTUBE video in the public directory of https://t.co/VtkwM5aPYN #Webmaster #Youtube #Marketing #SE…
88,Wed Apr 03 22:16:50 +0000 2019,DylansWorld,954241651,55264,0,1,"RT @New_YouTubers: TOP 5 CHANNEL'S OF THE MONTH - MARCH 
check it out now #youtube #youtubers #smallyoutuber #blog #blogging #youtubepromo…"
89,Wed Apr 03 22:16:36 +0000 2019,LemonBeardGaming,1100373893972455426,1,0,0,#streaming some Spongebob Battle for bikini bottom tonight on #twitch and #youtube.  Come check it out.  #retrogames #gaming
90,Wed Apr 03 22:16:31 +0000 2019,Drea Deniro 🏀,109127390,1505,0,0,Tomorrow‼️4/4 at 8PM our #YouTube premiere featuring bubutheprince_ will be airing on 4THE[🔴REC]... Catch his whole… https://t.co/ZmJlGjtE9m
91,Wed Apr 03 22:16:31 +0000 2019,さーちゃん,601486759,304,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
92,Wed Apr 03 22:16:19 +0000 2019,mayomayo,1103865075062824960,8,0,9,"RT @tsXBpSrsTBM4MjQ: 【武士道】
元最強の不良だった伝説の男が国民の為に自らの命を懸けて立ち上がる‼️やはり、この人は男の中の男ですね👼✨

#いいねした人全員フォローする 
#RTした人全員フォローする 
#YouTube
#与国秀行
#大和魂 https…"
93,Wed Apr 03 22:16:16 +0000 2019,🎮OdebGaming🎮 &  @BromiusGaming,957663848596758528,606,0,0,"https://t.co/SGyH4iVWiv
SEKIRO
Sekiro Shadows Die Twice

#Sekiro
#SekiroShadowsDieTwice
#walkthrough #Gameplay… https://t.co/8zNPVmZpi1"
94,Wed Apr 03 22:16:11 +0000 2019,Ntsikie.,943745700143222784,409,0,864,RT @YNWMelly: Gang (First Day Out) 🌟✨Music video out now @drewfilmedit #youtube #weallshine out now https://t.co/DcMfmC789A
95,Wed Apr 03 22:16:11 +0000 2019,ちぃヾ（*・ω・*）ノ,406239770,191,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
96,Wed Apr 03 22:16:06 +0000 2019,かちころ＠視聴用垢,1013460447696072705,2997,1,0,"YouTube相互チャンネル登録します

お気軽にどうぞ☺️

DM にて貴方のYouTubeチャンネルURL送ってください(o^^o)✨

#youtube
#youtube相互登録
#youtube登録
#相互チャンネル登録
#拡散希望"
97,Wed Apr 03 22:16:01 +0000 2019,SKETCH4961,1092574700797153280,275,0,3,"RT @GamerGram_GG: 🔸️Ever thought...
 ""how do people get those black backgrounds in #spiderman""?
🔸️Checkout @Ghost_Focus Latest #YouTube #Vi…"
98,Wed Apr 03 22:16:01 +0000 2019,𝐾𝑒🖤,1104501958566539264,1,0,7446,"RT @J_Jr_Ch: 【動画更新】おかげ様で1周年!!5夜連続全員集合SP始まるよ～！
5グループ33名が大集結！【1周年記念特別企画①】""かぶったらダメよ""に挑戦 1/5
⇒ https://t.co/ie417KPFKQ
#SnowMan #TravisJapan #S…"
99,Wed Apr 03 22:15:57 +0000 2019,Gameshow Jackson,176882494,1175,1,0,"6:15pm LINK IN BIO 
@yungbb12 #YourHood Out Now #youtube #yungbb shot by gameshowjackson #showshotit… https://t.co/z826nm6XHM"
100,Wed Apr 03 22:15:57 +0000 2019,Paulo Londra Arg🇦🇷,969969646685257728,1078,2,1,"🔥"" TAL VEZ"" YA ESTA DISPONIBLE EN #YOUTUBE 🔥.
.
📌LINK  EN BIOGRAFÍA. https://t.co/6sxElasibY"
101,Wed Apr 03 22:15:49 +0000 2019,⋆✰Ɗℯℯנαყ Ŧa̶๖ɣ✰,887933150,4205,1,0,"N-am nevoie #OfficialVideo
#OfficialVideo #Year2019
#OficialVideo #VideoClipOficial
#VideoClip #Video #NewVideo… https://t.co/3JMxV6PV2h"
102,Wed Apr 03 22:15:47 +0000 2019,Beans On Demand,833031409904279553,553,0,0,#rbtv #gaming #vod #youtube #new Verfolgt vom finsteren Salazar | Resident Evil 4 mit Simon &amp; Gregor #06… https://t.co/qxbEuDZ7sg
103,Wed Apr 03 22:15:39 +0000 2019,BattleChats,759961740880781312,1803,0,0,".....✅ SUBSCRIBE ✅......
https://t.co/iOeAIa16W3 

A Network With Howard Stern Show Personalities, Celebrity Interv… https://t.co/SdrOx4HCJY"
104,Wed Apr 03 22:15:31 +0000 2019,MxZ,2787205306,669,0,0,"@youtube this as some amazing ideas and something we've all wanted, please conider this concept! #YouTube… https://t.co/pwNTixSD9d"
